GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
SUBHD0203_S24,Percent - Female; Total population - 18 to 64 years - 25 to 44 years
HD03_S24,Males per 100 females; Total population - 18 to 64 years - 25 to 44 years
SUBHD0101_S25,Number - Both sexes; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years
SUBHD0102_S25,Number - Male; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years
SUBHD0103_S25,Number - Female; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years
SUBHD0201_S25,Percent - Both sexes; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years
SUBHD0202_S25,Percent - Male; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years
SUBHD0203_S25,Percent - Female; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years
HD03_S25,Males per 100 females; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years
SUBHD0101_S26,Number - Both sexes; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years
SUBHD0102_S26,Number - Male; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years
SUBHD0103_S26,Number - Female; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years
SUBHD0201_S26,Percent - Both sexes; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years
SUBHD0202_S26,Percent - Male; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years
SUBHD0203_S26,Percent - Female; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years
HD03_S26,Males per 100 females; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years
SUBHD0101_S27,Number - Both sexes; Total population - 18 to 64 years - 45 to 64 years
SUBHD0102_S27,Number - Male; Total population - 18 to 64 years - 45 to 64 years
SUBHD0103_S27,Number - Female; Total population - 18 to 64 years - 45 to 64 years
SUBHD0201_S27,Percent - Both sexes; Total population - 18 to 64 years - 45 to 64 years
SUBHD0202_S27,Percent - Male; Total population - 18 to 64 years - 45 to 64 years
SUBHD0203_S27,Percent - Female; Total population - 18 to 64 years - 45 to 64 years
HD03_S27,Males per 100 females; Total population - 18 to 64 years - 45 to 64 years
SUBHD0101_S28,Number - Both sexes; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years
SUBHD0102_S28,Number - Male; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years
SUBHD0103_S28,Number - Female; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years
SUBHD0201_S28,Percent - Both sexes; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years
SUBHD0202_S28,Percent - Male; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years
SUBHD0203_S28,Percent - Female; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years
